Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2012,Clayton Richard,Padres,218.2,,87.4,,91.8,85.6,,82.9,,,,3551
2013,Kyle Kendrick,Phillies,182,,87.3,82.9,90.7,,,78.2,,,,6230
2014,Josh Collmenter,Diamondbacks,179.1,,86.8,,,79.3,,73,,,,7312
2014,Jarred Cosart,- - -,180.1,,94.5,,,83.9,,79.6,,,,10304
2014,Alex Wood,Braves,171.2,,,,90.8,83.4,,80.1,,,,13781
2015,Mike Pelfrey,Twins,164.2,,,81.6,94,,84.4,73.4,,,,5203
2015,Alex Wood,- - -,189.2,,,,89.8,82.9,,81,,,,13781
2016,Michael Pineda,Yankees,175.2,,94.7,,92.6,88.9,86.2,74.6,,,,5372
2017,Mike Leake,- - -,186,,89.3,,90.4,84.6,81.3,78.6,,,,10130
2018,Zack Godley,Diamondbacks,178.1,,89.3,,90.3,81.5,,81.9,,,,14862
